id,seq,ate_rmse_m,rpe_rmse_m,tracking_fps,end_to_end_fps,lost_frames,n_keyframes,n_frames,status,flags
F_base,freiburg1_xyz,0.1669326587109202,0.015390690586241196,21.413075267115868,16.393471168845565,4,51,792,ok,"--slam-backend fast_rgbd --keyframe-tracking-interval 10 --feature-interval 5"
F_base,freiburg1_desk,0.6926194282830024,0.014042915677536646,18.7838832319032,14.319547085617746,109,40,573,ok,"--slam-backend fast_rgbd --keyframe-tracking-interval 10 --feature-interval 5"
F_it42,freiburg1_xyz,0.1770350461332269,0.017829955663221462,29.36832996736403,20.14541686517369,0,46,792,ok,"--slam-backend fast_rgbd --keyframe-tracking-interval 10 --feature-interval 5 --icp-iters 4 2"
F_bf16,freiburg1_xyz,,,,,,,,fail_rc0,"--slam-backend fast_rgbd --keyframe-tracking-interval 10 --feature-interval 5 --autocast bf16"
F_it42,freiburg1_desk,0.7457028211291762,0.01670341638514708,25.60330477159327,18.13656352742268,105,50,573,ok,"--slam-backend fast_rgbd --keyframe-tracking-interval 10 --feature-interval 5 --icp-iters 4 2"
F_bf16,freiburg1_desk,,,,,,,,fail_rc0,"--slam-backend fast_rgbd --keyframe-tracking-interval 10 --feature-interval 5 --autocast bf16"
F_nofeat,freiburg1_xyz,0.09172402724940229,0.003444662609126276,22.22724377820885,16.940647560546154,0,66,792,ok,"--slam-backend fast_rgbd --keyframe-tracking-interval 10 --feature-interval 0"
F_s05,freiburg1_xyz,0.1669326587109202,0.015390690586241196,21.96013405749444,16.99840125757585,4,51,792,ok,"--slam-backend fast_rgbd --keyframe-tracking-interval 10 --feature-interval 5 --process-scale 0.5"
F_nofeat,freiburg1_desk,0.4872081410981756,0.007909546506521373,21.888484724965238,16.49413100054714,35,77,573,ok,"--slam-backend fast_rgbd --keyframe-tracking-interval 10 --feature-interval 0"
F_s05,freiburg1_desk,0.6926194282830024,0.014042915677536646,18.75823173316301,14.626977592913018,109,40,573,ok,"--slam-backend fast_rgbd --keyframe-tracking-interval 10 --feature-interval 5 --process-scale 0.5"
F_fastest,freiburg1_xyz,,,,,,,,fail_rc0,"--slam-backend fast_rgbd --keyframe-tracking-interval 10 --feature-interval 0 --process-scale 0.5 --autocast bf16 --icp-iters 4 2"
F_s05_bf16,freiburg1_xyz,,,,,,,,fail_rc0,"--slam-backend fast_rgbd --keyframe-tracking-interval 10 --feature-interval 5 --process-scale 0.5 --autocast bf16"
F_fastest,freiburg1_desk,,,,,,,,fail_rc0,"--slam-backend fast_rgbd --keyframe-tracking-interval 10 --feature-interval 0 --process-scale 0.5 --autocast bf16 --icp-iters 4 2"
